STATE,COUNTY,YEAR,ST_CNTY,LAT,LON,O_C,BLM_Grz_3,BLM_GRZ_15,Bankhead_Jones_Other,BLM_Tmb,BLM_FML,L_CFG,FS,PILT,SRS
Arizona,Apache,1970,Arizona_Apache,35.395600,-109.489000,-999,,,,,,0,,-999,-999
Arizona,Apache,1971,Arizona_Apache,35.395600,-109.489000,-999,,,,,,0,,-999,-999
Arizona,Apache,1972,Arizona_Apache,35.395600,-109.489000,-999,,,,,,0,,-999,-999
Arizona,Apache,1973,Arizona_Apache,35.395600,-109.489000,-999,,,,,,56818,,-999,-999
Arizona,Apache,1974,Arizona_Apache,35.395600,-109.489000,-999,,,,,,130749,,-999,-999
Arizona,Apache,1975,Arizona_Apache,35.395600,-109.489000,-999,,,,,,0,,-999,-999
Arizona,Apache,1976,Arizona_Apache,35.395600,-109.489000,-999,,,,,,304527,,-999,-999
Arizona,Apache,1977,Arizona_Apache,35.395600,-109.489000,-999,,,,,,0,,-999,-999
Arizona,Apache,1978,Arizona_Apache,35.395600,-109.489000,-999,,,,,,0,,850157,-999
Arizona,Apache,1979,Arizona_Apache,35.395600,-109.489000,-999,,,,,,343137,,687142,-999
Arizona,Apache,1980,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,272486,0,484250,-999
Arizona,Apache,1981,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,0,0,414141,-999
Arizona,Apache,1982,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,0,0,1011871,-999
Arizona,Apache,1983,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,82853,0,632872,-999
Arizona,Apache,1984,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,0,0,811693,-999
Arizona,Apache,1985,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,156106,0,683813,-999
Arizona,Apache,1986,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,60161,0,419414,-999
Arizona,Apache,1987,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,72135,0,451164,-999
Arizona,Apache,1988,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,0,0,449778,-999
Arizona,Apache,1989,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,40119,0,299854,-999
Arizona,Apache,1990,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,0,0,207871,-999
Arizona,Apache,1991,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,0,0,202234,-999
Arizona,Apache,1992,Arizona_Apache,35.395600,-109.489000,-999,0,0,0,0,0,0,0,328824,-999
