,county,pilt_perc,oc_perc,blm3_perc,blm15_perc,bj_perc,blmt_perc,cfg_perc,fsg_perc,fst_perc,srs_perc,PILT,O_C,BLM_Grz_3,BLM_GRZ_15,Bankhead_Jones_Other,BLM_Tmb,L_CFG,FS_Grz,FS_Tmb,SRS
1,Arizona_Apache,0.82962963,NA,NA,NA,NA,NA,0.5225,NA,NA,0.721311475,top 25%,-,-,-,-,-,about average,-,-,above average
2,Arizona_Cochise,0.911111111,NA,NA,NA,NA,NA,0.9375,NA,NA,0.485245902,top 10%,-,-,-,-,-,top 10%,-,-,about average
3,Arizona_Coconino,0.883950617,NA,NA,NA,NA,NA,0.675,NA,NA,0.944262295,top 25%,-,-,-,-,-,above average,-,-,top 10%
4,Arizona_Gila,0.960493827,NA,NA,NA,NA,NA,0.555,NA,NA,0.790163934,top 5%,-,-,-,-,-,about average,-,-,top 25%
5,Arizona_Graham,0.938271605,NA,NA,NA,NA,NA,0.455,NA,NA,0.590163934,top 10%,-,-,-,-,-,about average,-,-,about average
6,Arizona_Greenlee,0.627160494,NA,NA,NA,NA,NA,0.11,NA,NA,0.718032787,above average,-,-,-,-,-,lowest 25%,-,-,above average
7,Arizona_La Paz,0.832098765,NA,NA,NA,NA,NA,0.255,NA,NA,NA,top 25%,-,-,-,-,-,below average,-,-,-
8,Arizona_Maricopa,0.977777778,NA,NA,NA,NA,NA,0.995,NA,NA,0.537704918,top 5%,-,-,-,-,-,top 5%,-,-,about average
9,Arizona_Mohave,0.995061728,NA,NA,NA,NA,NA,0.6225,NA,NA,0.032786885,top 5%,-,-,-,-,-,above average,-,-,lowest 5%
10,Arizona_Navajo,0.728395062,NA,NA,NA,NA,NA,0.8,NA,NA,0.786885246,above average,-,-,-,-,-,top 25%,-,-,top 25%
11,Arizona_Pima,0.985185185,NA,NA,NA,NA,NA,0.965,NA,NA,0.409836066,top 5%,-,-,-,-,-,top 5%,-,-,about average
12,Arizona_Pinal,0.822222222,NA,NA,NA,NA,NA,0.8175,NA,NA,0.419672131,top 25%,-,-,-,-,-,top 25%,-,-,about average
13,Arizona_Santa Cruz,0.735802469,NA,NA,NA,NA,NA,0.6175,NA,NA,0.586885246,above average,-,-,-,-,-,above average,-,-,about average
14,Arizona_Yavapai,0.928395062,NA,NA,NA,NA,NA,0.84,NA,NA,0.839344262,top 10%,-,-,-,-,-,top 25%,-,-,top 25%
15,Arizona_Yuma,0.987654321,NA,NA,NA,NA,NA,0.69,NA,NA,NA,top 5%,-,-,-,-,-,above average,-,-,-
16,California_Alameda,0.044444444,NA,NA,NA,NA,NA,0.9725,NA,NA,NA,lowest 5%,-,-,-,-,-,top 5%,-,-,-
17,California_Alpine,0.279012346,NA,NA,NA,NA,NA,0.1775,NA,NA,0.740983607,below average,-,-,-,-,-,lowest 25%,-,-,above average
18,California_Amador,0.128395062,NA,NA,NA,NA,NA,0.205,NA,NA,0.662295082,lowest 25%,-,-,-,-,-,lowest 25%,-,-,above average
19,California_Butte,0.167901235,NA,NA,NA,NA,NA,0.7,NA,NA,0.724590164,lowest 25%,-,-,-,-,-,above average,-,-,above average
20,California_Calaveras,0.251851852,NA,NA,NA,NA,NA,0.2075,NA,NA,0.53442623,below average,-,-,-,-,-,lowest 25%,-,-,about average
21,California_Colusa,0.217283951,NA,NA,NA,NA,NA,0.025,NA,NA,0.436065574,lowest 25%,-,-,-,-,-,lowest 5%,-,-,about average
22,California_Contra Costa,0.051851852,NA,NA,NA,NA,NA,0.9625,NA,NA,NA,lowest 10%,-,-,-,-,-,top 5%,-,-,-
23,California_Del Norte,0.35308642,NA,NA,NA,NA,NA,0.9,NA,NA,0.901639344,below average,-,-,-,-,-,top 25%,-,-,top 10%
24,California_El Dorado,0.419753086,NA,NA,NA,NA,NA,0.79,NA,NA,0.931147541,about average,-,-,-,-,-,top 25%,-,-,top 10%
25,California_Fresno,0.856790123,NA,NA,NA,NA,NA,0.8975,NA,NA,0.885245902,top 25%,-,-,-,-,-,top 25%,-,-,top 25%
26,California_Glenn,0.283950617,NA,NA,NA,NA,NA,0.395,NA,NA,0.681967213,below average,-,-,-,-,-,below average,-,-,above average
27,California_Humboldt,0.962962963,NA,NA,NA,NA,NA,0.8875,NA,NA,0.849180328,top 5%,-,-,-,-,-,top 25%,-,-,top 25%
28,California_Imperial,0.955555556,NA,NA,NA,NA,NA,0.75,NA,NA,NA,top 5%,-,-,-,-,-,above average,-,-,-
29,California_Inyo,0.879012346,NA,NA,NA,NA,NA,0.3575,NA,NA,0.524590164,top 25%,-,-,-,-,-,below average,-,-,about average
30,California_Kern,0.940740741,NA,NA,NA,NA,NA,0.7825,NA,NA,0.603278689,top 10%,-,-,-,-,-,top 25%,-,-,above average
31,California_Kings,0.103703704,NA,NA,NA,NA,NA,0.28,NA,NA,NA,lowest 25%,-,-,-,-,-,below average,-,-,-
32,California_Lake,0.29382716,NA,NA,NA,NA,NA,0.0175,NA,NA,0.750819672,below average,-,-,-,-,-,lowest 5%,-,-,top 25%
33,California_Lassen,0.688888889,NA,NA,NA,NA,NA,0.4,NA,NA,0.921311475,above average,-,-,-,-,-,about average,-,-,top 10%
34,California_Los Angeles,0.841975309,NA,NA,NA,NA,NA,1,NA,NA,NA,top 25%,-,-,-,-,-,top 5%,-,-,-
35,California_Madera,0.565432099,NA,NA,NA,NA,NA,0.1975,NA,NA,0.77704918,about average,-,-,-,-,-,lowest 25%,-,-,top 25%
36,California_Marin,0.52345679,NA,NA,NA,NA,NA,0.935,NA,NA,NA,about average,-,-,-,-,-,top 10%,-,-,-
37,California_Mariposa,0.664197531,NA,NA,NA,NA,NA,NA,NA,NA,0.655737705,above average,-,-,-,-,-,-,-,-,above average
38,California_Mendocino,0.427160494,NA,NA,NA,NA,NA,0.6675,NA,NA,0.675409836,about average,-,-,-,-,-,above average,-,-,above average
39,California_Merced,0.207407407,NA,NA,NA,NA,NA,0.6825,NA,NA,NA,lowest 25%,-,-,-,-,-,above average,-,-,-
40,California_Modoc,0.590123457,NA,NA,NA,NA,NA,0.1,NA,NA,0.91147541,about average,-,-,-,-,-,lowest 25%,-,-,top 10%
41,California_Mono,0.681481481,NA,NA,NA,NA,NA,0.76,NA,NA,0.563934426,above average,-,-,-,-,-,top 25%,-,-,about average
42,California_Monterey,0.716049383,NA,NA,NA,NA,NA,0.92,NA,NA,0.140983607,above average,-,-,-,-,-,top 10%,-,-,lowest 25%
43,California_Napa,0.296296296,NA,NA,NA,NA,NA,0.745,NA,NA,NA,below average,-,-,-,-,-,above average,-,-,-
44,California_Nevada,0.241975309,NA,NA,NA,NA,NA,0.53,NA,NA,0.698360656,lowest 25%,-,-,-,-,-,about average,-,-,above average
45,California_Orange,0.239506173,NA,NA,NA,NA,NA,0.9925,NA,NA,0.104918033,lowest 25%,-,-,-,-,-,top 5%,-,-,lowest 25%
46,California_Placer,0.385185185,NA,NA,NA,NA,NA,0.7575,NA,NA,0.826229508,below average,-,-,-,-,-,top 25%,-,-,top 25%
47,California_Plumas,0.530864198,NA,NA,NA,NA,NA,0.35,NA,NA,0.970491803,about average,-,-,-,-,-,below average,-,-,top 5%
48,California_Riverside,0.992592593,NA,NA,NA,NA,NA,0.9775,NA,NA,0.190163934,top 5%,-,-,-,-,-,top 5%,-,-,lowest 25%
49,California_Sacramento,0.096296296,NA,NA,NA,NA,NA,0.945,NA,NA,NA,lowest 10%,-,-,-,-,-,top 10%,-,-,-
50,California_San Benito,0.404938272,NA,NA,NA,NA,NA,0.0725,NA,NA,NA,about average,-,-,-,-,-,lowest 10%,-,-,-
51,California_San Bernardino,0.975308642,NA,NA,NA,NA,NA,0.8775,NA,NA,0.413114754,top 5%,-,-,-,-,-,top 25%,-,-,about average
52,California_San Diego,0.762962963,NA,NA,NA,NA,NA,0.9875,NA,NA,0.242622951,top 25%,-,-,-,-,-,top 5%,-,-,lowest 25%
53,California_San Francisco,0.143209877,NA,NA,NA,NA,NA,0.89,NA,NA,NA,lowest 25%,-,-,-,-,-,top 25%,-,-,-
54,California_San Joaquin,0.04691358,NA,NA,NA,NA,NA,0.835,NA,NA,NA,lowest 5%,-,-,-,-,-,top 25%,-,-,-
55,California_San Luis Obispo,0.738271605,NA,NA,NA,NA,NA,0.805,NA,NA,0.101639344,above average,-,-,-,-,-,top 25%,-,-,lowest 25%
56,California_San Mateo,0.098765432,NA,NA,NA,NA,NA,0.98,NA,NA,NA,lowest 10%,-,-,-,-,-,top 5%,-,-,-
57,California_Santa Barbara,0.886419753,NA,NA,NA,NA,NA,0.8425,NA,NA,0.216393443,top 25%,-,-,-,-,-,top 25%,-,-,lowest 25%
58,California_Santa Clara,0.066666667,NA,NA,NA,NA,NA,0.9675,NA,NA,NA,lowest 10%,-,-,-,-,-,top 5%,-,-,-
59,California_Santa Cruz,0.004938272,NA,NA,NA,NA,NA,0.93,NA,NA,NA,lowest 5%,-,-,-,-,-,top 10%,-,-,-
60,California_Shasta,0.572839506,NA,NA,NA,NA,NA,0.345,NA,NA,0.927868852,about average,-,-,-,-,-,below average,-,-,top 10%
61,California_Sierra,0.301234568,NA,NA,NA,NA,NA,0.525,NA,NA,0.832786885,below average,-,-,-,-,-,about average,-,-,top 25%
62,California_Siskiyou,0.711111111,NA,NA,NA,NA,NA,0.81,NA,NA,0.980327869,above average,-,-,-,-,-,top 25%,-,-,top 5%
63,California_Solano,0.081481481,NA,NA,NA,NA,NA,0.9075,NA,NA,NA,lowest 10%,-,-,-,-,-,top 10%,-,-,-
64,California_Sonoma,0.086419753,NA,NA,NA,NA,NA,0.9525,NA,NA,NA,lowest 10%,-,-,-,-,-,top 5%,-,-,-
65,California_Stanislaus,0.074074074,NA,NA,NA,NA,NA,0.4825,NA,NA,NA,lowest 10%,-,-,-,-,-,about average,-,-,-
66,California_Sutter,0.007407407,NA,NA,NA,NA,NA,0.125,NA,NA,NA,lowest 5%,-,-,-,-,-,lowest 25%,-,-,-
67,California_Tehama,0.333333333,NA,NA,NA,NA,NA,0.1875,NA,NA,0.868852459,below average,-,-,-,-,-,lowest 25%,-,-,top 25%
68,California_Trinity,0.558024691,NA,NA,NA,NA,NA,0.0675,NA,NA,0.97704918,about average,-,-,-,-,-,lowest 10%,-,-,top 5%
69,California_Tulare,0.945679012,NA,NA,NA,NA,NA,0.59,NA,NA,0.767213115,top 10%,-,-,-,-,-,about average,-,-,top 25%
70,California_Tuolumne,0.775308642,NA,NA,NA,NA,NA,0.1475,NA,NA,0.872131148,top 25%,-,-,-,-,-,lowest 25%,-,-,top 25%
71,California_Ventura,0.844444444,NA,NA,NA,NA,NA,0.985,NA,NA,0.206557377,top 25%,-,-,-,-,-,top 5%,-,-,lowest 25%
72,California_Yolo,0.175308642,NA,NA,NA,NA,NA,0.6625,NA,NA,NA,lowest 25%,-,-,-,-,-,above average,-,-,-
73,California_Yuba,0.113580247,NA,NA,NA,NA,NA,0.3025,NA,NA,0.429508197,lowest 25%,-,-,-,-,-,below average,-,-,about average
74,Colorado_Adams,NA,NA,NA,NA,NA,NA,0.845,NA,NA,NA,-,-,-,-,-,-,top 25%,-,-,-
75,Colorado_Alamosa,0.330864198,NA,NA,NA,NA,NA,0.265,NA,NA,0.085245902,below average,-,-,-,-,-,below average,-,-,lowest 10%
76,Colorado_Arapahoe,0.059259259,NA,NA,NA,NA,NA,0.905,NA,NA,NA,lowest 10%,-,-,-,-,-,top 10%,-,-,-
77,Colorado_Archuleta,0.641975309,NA,NA,NA,NA,NA,0.0825,NA,NA,0.547540984,above average,-,-,-,-,-,lowest 10%,-,-,about average
78,Colorado_Baca,0.488888889,NA,NA,NA,NA,NA,0.6525,NA,NA,NA,about average,-,-,-,-,-,above average,-,-,-
79,Colorado_Bent,0.120987654,NA,NA,NA,NA,NA,0.05,NA,NA,NA,lowest 25%,-,-,-,-,-,lowest 10%,-,-,-
80,Colorado_Boulder,0.474074074,NA,NA,NA,NA,NA,0.865,NA,NA,0.144262295,about average,-,-,-,-,-,top 25%,-,-,lowest 25%
81,Colorado_Broomfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-
82,Colorado_Chaffee,0.797530864,NA,NA,NA,NA,NA,0.1225,NA,NA,0.472131148,top 25%,-,-,-,-,-,lowest 25%,-,-,about average
83,Colorado_Cheyenne,NA,NA,NA,NA,NA,NA,0.0125,NA,NA,NA,-,-,-,-,-,-,lowest 5%,-,-,-
84,Colorado_Clear Creek,0.343209877,NA,NA,NA,NA,NA,0.1925,NA,NA,0.272131148,below average,-,-,-,-,-,lowest 25%,-,-,below average
85,Colorado_Conejos,0.730864198,NA,NA,NA,NA,NA,0.0475,NA,NA,0.550819672,above average,-,-,-,-,-,lowest 5%,-,-,about average
86,Colorado_Costilla,0.024691358,NA,NA,NA,NA,NA,NA,NA,NA,0.009836066,lowest 5%,-,-,-,-,-,-,-,-,lowest 5%
87,Colorado_Crowley,0.054320988,NA,NA,NA,NA,NA,0.005,NA,NA,NA,lowest 10%,-,-,-,-,-,lowest 5%,-,-,-
88,Colorado_Custer,0.437037037,NA,NA,NA,NA,NA,0.0025,NA,NA,0.245901639,about average,-,-,-,-,-,lowest 5%,-,-,lowest 25%
89,Colorado_Delta,0.459259259,NA,NA,NA,NA,NA,0.26,NA,NA,0.340983607,about average,-,-,-,-,-,below average,-,-,below average
90,Colorado_Denver,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,-,-,-,-,-,-,top 25%,-,-,-
91,Colorado_Dolores,0.281481481,NA,NA,NA,NA,NA,NA,NA,NA,0.449180328,below average,-,-,-,-,-,-,-,-,about average
92,Colorado_Douglas,0.483950617,NA,NA,NA,NA,NA,0.87,NA,NA,0.095081967,about average,-,-,-,-,-,top 25%,-,-,lowest 10%
93,Colorado_Eagle,0.819753086,NA,NA,NA,NA,NA,0.315,NA,NA,0.554098361,top 25%,-,-,-,-,-,below average,-,-,about average
94,Colorado_El Paso,0.365432099,NA,NA,NA,NA,NA,0.8825,NA,NA,0.167213115,below average,-,-,-,-,-,top 25%,-,-,lowest 25%
95,Colorado_Elbert,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,-,-,-,-,-,-,lowest 5%,-,-,-
96,Colorado_Fremont,0.758024691,NA,NA,NA,NA,NA,0.2925,NA,NA,0.22295082,top 25%,-,-,-,-,-,below average,-,-,lowest 25%
97,Colorado_Garfield,0.814814815,NA,NA,NA,NA,NA,0.3125,NA,NA,0.613114754,top 25%,-,-,-,-,-,below average,-,-,above average
98,Colorado_Gilpin,0.185185185,NA,NA,NA,NA,NA,0.2325,NA,NA,0.059016393,lowest 25%,-,-,-,-,-,lowest 25%,-,-,lowest 10%
99,Colorado_Grand,0.597530864,NA,NA,NA,NA,NA,0.2,NA,NA,0.403278689,about average,-,-,-,-,-,lowest 25%,-,-,about average
100,Colorado_Gunnison,0.604938272,NA,NA,NA,NA,NA,0.25,NA,NA,0.708196721,above average,-,-,-,-,-,below average,-,-,above average
101,Colorado_Hinsdale,0.222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.540983607,lowest 25%,-,-,-,-,-,-,-,-,about average
102,Colorado_Huerfano,0.439506173,NA,NA,NA,NA,NA,0.165,NA,NA,0.295081967,about average,-,-,-,-,-,lowest 25%,-,-,below average
103,Colorado_Jackson,0.318518519,NA,NA,NA,NA,NA,0.105,NA,NA,0.495081967,below average,-,-,-,-,-,lowest 25%,-,-,about average
104,Colorado_Jefferson,0.358024691,NA,NA,NA,NA,NA,0.9125,NA,NA,0.11147541,below average,-,-,-,-,-,top 10%,-,-,lowest 25%
105,Colorado_Kiowa,0.071604938,NA,NA,NA,NA,NA,0.1525,NA,NA,NA,lowest 10%,-,-,-,-,-,lowest 25%,-,-,-
106,Colorado_Kit Carson,NA,NA,NA,NA,NA,NA,0.115,NA,NA,NA,-,-,-,-,-,-,lowest 25%,-,-,-
107,Colorado_La Plata,0.659259259,NA,NA,NA,NA,NA,0.6925,NA,NA,0.380327869,above average,-,-,-,-,-,above average,-,-,below average
108,Colorado_Lake,0.501234568,NA,NA,NA,NA,NA,0.12,NA,NA,0.301639344,about average,-,-,-,-,-,lowest 25%,-,-,below average
109,Colorado_Larimer,0.89382716,NA,NA,NA,NA,NA,0.9325,NA,NA,0.442622951,top 25%,-,-,-,-,-,top 10%,-,-,about average
110,Colorado_Las Animas,0.533333333,NA,NA,NA,NA,NA,0.2825,NA,NA,0.075409836,about average,-,-,-,-,-,below average,-,-,lowest 10%
111,Colorado_Lincoln,0.037037037,NA,NA,NA,NA,NA,0.175,NA,NA,NA,lowest 5%,-,-,-,-,-,lowest 25%,-,-,-
112,Colorado_Logan,0.009876543,NA,NA,NA,NA,NA,0.07,NA,NA,NA,lowest 5%,-,-,-,-,-,lowest 10%,-,-,-
113,Colorado_Mesa,0.943209877,NA,NA,NA,NA,NA,0.5025,NA,NA,0.508196721,top 10%,-,-,-,-,-,about average,-,-,about average
114,Colorado_Mineral,0.325925926,NA,NA,NA,NA,NA,0.0275,NA,NA,0.570491803,below average,-,-,-,-,-,lowest 5%,-,-,about average
115,Colorado_Moffat,0.619753086,NA,NA,NA,NA,NA,0.2275,NA,NA,0.13442623,above average,-,-,-,-,-,lowest 25%,-,-,lowest 25%
116,Colorado_Montezuma,0.498765432,NA,NA,NA,NA,NA,0.2175,NA,NA,0.324590164,about average,-,-,-,-,-,lowest 25%,-,-,below average
117,Colorado_Montrose,0.90617284,NA,NA,NA,NA,NA,0.38,NA,NA,0.416393443,top 10%,-,-,-,-,-,below average,-,-,about average
118,Colorado_Morgan,0.039506173,NA,NA,NA,NA,NA,0.2975,NA,NA,NA,lowest 5%,-,-,-,-,-,below average,-,-,-
119,Colorado_Otero,0.464197531,NA,NA,NA,NA,NA,0.3875,NA,NA,NA,about average,-,-,-,-,-,below average,-,-,-
120,Colorado_Ouray,0.451851852,NA,NA,NA,NA,NA,0.06,NA,NA,0.173770492,about average,-,-,-,-,-,lowest 10%,-,-,lowest 25%
121,Colorado_Park,0.755555556,NA,NA,NA,NA,NA,0.3475,NA,NA,0.527868852,top 25%,-,-,-,-,-,below average,-,-,about average
122,Colorado_Phillips,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,-,-,-,-,-,-,lowest 5%,-,-,-
123,Colorado_Pitkin,0.70617284,NA,NA,NA,NA,NA,0.39,NA,NA,0.393442623,above average,-,-,-,-,-,below average,-,-,below average
124,Colorado_Prowers,0.012345679,NA,NA,NA,NA,NA,NA,NA,NA,NA,lowest 5%,-,-,-,-,-,-,-,-,-
125,Colorado_Pueblo,0.264197531,NA,NA,NA,NA,NA,0.73,NA,NA,0.091803279,below average,-,-,-,-,-,above average,-,-,lowest 10%
126,Colorado_Rio Blanco,0.548148148,NA,NA,NA,NA,NA,0.2125,NA,NA,0.514754098,about average,-,-,-,-,-,lowest 25%,-,-,about average
127,Colorado_Rio Grande,0.632098765,NA,NA,NA,NA,NA,0.055,NA,NA,0.37704918,above average,-,-,-,-,-,lowest 10%,-,-,below average
128,Colorado_Routt,0.634567901,NA,NA,NA,NA,NA,0.7325,NA,NA,0.583606557,above average,-,-,-,-,-,above average,-,-,about average
129,Colorado_Saguache,0.580246914,NA,NA,NA,NA,NA,0.075,NA,NA,0.8,about average,-,-,-,-,-,lowest 10%,-,-,top 25%
130,Colorado_San Juan,0.190123457,NA,NA,NA,NA,NA,0.0225,NA,NA,0.275409836,lowest 25%,-,-,-,-,-,lowest 5%,-,-,below average
131,Colorado_San Miguel,0.491358025,NA,NA,NA,NA,NA,0.1425,NA,NA,0.157377049,about average,-,-,-,-,-,lowest 25%,-,-,lowest 25%
132,Colorado_Sedgwick,0.019753086,NA,NA,NA,NA,NA,NA,NA,NA,NA,lowest 5%,-,-,-,-,-,-,-,-,-
133,Colorado_Summit,0.44691358,NA,NA,NA,NA,NA,0.47,NA,NA,0.4,about average,-,-,-,-,-,about average,-,-,about average
134,Colorado_Teller,0.466666667,NA,NA,NA,NA,NA,0.9025,NA,NA,0.180327869,about average,-,-,-,-,-,top 10%,-,-,lowest 25%
135,Colorado_Washington,0.017283951,NA,NA,NA,NA,NA,0.1825,NA,NA,NA,lowest 5%,-,-,-,-,-,lowest 25%,-,-,-
136,Colorado_Weld,0.288888889,NA,NA,NA,NA,NA,0.66,NA,NA,NA,below average,-,-,-,-,-,above average,-,-,-
137,Colorado_Yuma,0.034567901,NA,NA,NA,NA,NA,0.8025,NA,NA,NA,lowest 5%,-,-,-,-,-,top 25%,-,-,-
138,Idaho_Ada,0.602469136,NA,NA,NA,NA,NA,0.95,NA,NA,0.036065574,above average,-,-,-,-,-,top 10%,-,-,lowest 5%
139,Idaho_Adams,0.348148148,NA,NA,NA,NA,NA,NA,NA,NA,0.73442623,below average,-,-,-,-,-,-,-,-,above average
140,Idaho_Bannock,0.550617284,NA,NA,NA,NA,NA,0.4425,NA,NA,0.255737705,about average,-,-,-,-,-,about average,-,-,below average
141,Idaho_Bear Lake,0.6,NA,NA,NA,NA,NA,0.3975,NA,NA,0.426229508,about average,-,-,-,-,-,below average,-,-,about average
142,Idaho_Benewah,0.135802469,NA,NA,NA,NA,NA,0.45,NA,NA,0.281967213,lowest 25%,-,-,-,-,-,about average,-,-,below average
143,Idaho_Bingham,0.669135802,NA,NA,NA,NA,NA,0.665,NA,NA,NA,above average,-,-,-,-,-,above average,-,-,-
144,Idaho_Blaine,0.854320988,NA,NA,NA,NA,NA,0.51,NA,NA,0.308196721,top 25%,-,-,-,-,-,about average,-,-,below average
145,Idaho_Boise,0.444444444,NA,NA,NA,NA,NA,NA,NA,NA,0.82295082,about average,-,-,-,-,-,-,-,-,top 25%
146,Idaho_Bonner,0.414814815,NA,NA,NA,NA,NA,0.5075,NA,NA,0.813114754,about average,-,-,-,-,-,about average,-,-,top 25%
147,Idaho_Bonneville,0.817283951,NA,NA,NA,NA,NA,0.83,NA,NA,0.518032787,top 25%,-,-,-,-,-,top 25%,-,-,about average
148,Idaho_Boundary,0.360493827,NA,NA,NA,NA,NA,0.405,NA,NA,0.836065574,below average,-,-,-,-,-,about average,-,-,top 25%
149,Idaho_Butte,0.511111111,NA,NA,NA,NA,NA,0.1075,NA,NA,0.354098361,about average,-,-,-,-,-,lowest 25%,-,-,below average
150,Idaho_Camas,0.271604938,NA,NA,NA,NA,NA,0.09,NA,NA,0.367213115,below average,-,-,-,-,-,lowest 10%,-,-,below average
151,Idaho_Canyon,0.145679012,NA,NA,NA,NA,NA,0.625,NA,NA,NA,lowest 25%,-,-,-,-,-,above average,-,-,-
152,Idaho_Caribou,0.585185185,NA,NA,NA,NA,NA,0.2475,NA,NA,0.455737705,about average,-,-,-,-,-,lowest 25%,-,-,about average
153,Idaho_Cassia,0.901234568,NA,NA,NA,NA,NA,0.4875,NA,NA,0.452459016,top 10%,-,-,-,-,-,about average,-,-,about average
154,Idaho_Clark,0.291358025,NA,NA,NA,NA,NA,NA,NA,NA,0.439344262,below average,-,-,-,-,-,-,-,-,about average
155,Idaho_Clearwater,0.518518519,NA,NA,NA,NA,NA,0.19,NA,NA,0.819672131,about average,-,-,-,-,-,lowest 25%,-,-,top 25%
156,Idaho_Custer,0.644444444,NA,NA,NA,NA,NA,0.3225,NA,NA,0.783606557,above average,-,-,-,-,-,below average,-,-,top 25%
157,Idaho_Elmore,0.908641975,NA,NA,NA,NA,NA,0.4475,NA,NA,0.803278689,top 10%,-,-,-,-,-,about average,-,-,top 25%
158,Idaho_Franklin,0.409876543,NA,NA,NA,NA,NA,0.2675,NA,NA,0.318032787,about average,-,-,-,-,-,below average,-,-,below average
159,Idaho_Fremont,0.745679012,NA,NA,NA,NA,NA,0.5675,NA,NA,0.659016393,above average,-,-,-,-,-,about average,-,-,above average
160,Idaho_Gem,0.402469136,NA,NA,NA,NA,NA,0.0525,NA,NA,0.304918033,about average,-,-,-,-,-,lowest 10%,-,-,below average
161,Idaho_Gooding,0.614814815,NA,NA,NA,NA,NA,0.605,NA,NA,NA,above average,-,-,-,-,-,above average,-,-,-
162,Idaho_Idaho,0.859259259,NA,NA,NA,NA,NA,0.415,NA,NA,0.973770492,top 25%,-,-,-,-,-,about average,-,-,top 5%
