"","county","0","20","40","60","80","100"
"1","Arizona_Apache",2.022343e+05,4.437048e+05,5.983212e+05,8.270786e+05,1.013782e+06,1.569881e+06
"2","Arizona_Cochise",7.599747e+05,8.373593e+05,1.000780e+06,1.178971e+06,1.363058e+06,2.062865e+06
"3","Arizona_Coconino",5.762626e+05,6.948916e+05,8.041508e+05,9.944818e+05,1.280421e+06,1.563286e+06
"4","Arizona_Gila",9.485476e+05,1.055521e+06,1.186076e+06,1.490035e+06,2.053123e+06,3.133057e+06
"5","Arizona_Graham",8.761406e+05,9.262575e+05,9.580274e+05,1.127790e+06,1.625236e+06,2.640293e+06
"6","Arizona_Greenlee",1.108223e+05,1.479937e+05,2.957884e+05,3.897262e+05,5.879945e+05,8.489506e+05
"7","Arizona_La Paz",5.410871e+05,5.943891e+05,6.754464e+05,9.435502e+05,1.163352e+06,1.764662e+06
"8","Arizona_Maricopa",1.163433e+06,1.270781e+06,1.544067e+06,1.774757e+06,2.014857e+06,2.997005e+06
"9","Arizona_Mohave",1.227846e+06,1.367198e+06,1.646304e+06,1.866796e+06,2.096266e+06,3.177514e+06
"10","Arizona_Navajo",8.913130e+04,2.076022e+05,3.630861e+05,5.237884e+05,8.360552e+05,1.418214e+06
"11","Arizona_Pima",1.212817e+06,1.322249e+06,1.591777e+06,1.923765e+06,2.139922e+06,3.073106e+06
"12","Arizona_Pinal",4.528592e+05,4.917508e+05,6.487283e+05,7.946550e+05,9.769774e+05,1.403450e+06
"13","Arizona_Santa Cruz",3.184588e+05,4.333035e+05,4.699891e+05,5.646780e+05,6.583818e+05,1.006572e+06
"14","Arizona_Yavapai",6.123800e+05,8.673092e+05,1.077137e+06,1.229562e+06,1.582351e+06,2.843423e+06
"15","Arizona_Yuma",1.158582e+06,1.288028e+06,1.444704e+06,1.913985e+06,2.121094e+06,3.185933e+06
"16","California_Alameda",8.499206e+02,1.383563e+03,2.229259e+03,2.394002e+03,2.592879e+03,6.068003e+03
"17","California_Alpine",6.808475e+03,6.115467e+04,6.981130e+04,8.127715e+04,9.072003e+04,1.409275e+05
"18","California_Amador",1.074536e+04,1.349881e+04,1.552176e+04,1.858614e+04,2.796867e+04,4.070313e+04
"19","California_Butte",1.866837e+04,2.183263e+04,2.574177e+04,3.210116e+04,4.920698e+04,1.841829e+05
"20","California_Calaveras",1.741777e+04,2.248925e+04,3.536771e+04,7.396574e+04,1.203279e+05,1.887487e+05
"21","California_Colusa",1.387896e+04,1.647171e+04,3.556190e+04,5.470411e+04,8.737652e+04,1.688182e+05
"22","California_Contra Costa",1.745648e+03,2.254866e+03,2.863263e+03,3.467548e+03,4.648494e+03,6.195505e+03
"23","California_Del Norte",5.672599e+04,6.509461e+04,7.622937e+04,9.091522e+04,1.510516e+05,6.127549e+05
"24","California_El Dorado",8.971086e+04,1.070645e+05,1.211521e+05,1.828439e+05,2.275306e+05,3.070230e+05
"25","California_Fresno",1.865570e+05,2.384155e+05,4.845710e+05,1.046731e+06,1.435613e+06,2.175917e+06
"26","California_Glenn",2.281412e+04,3.078301e+04,3.959415e+04,6.475799e+04,1.291515e+05,2.698772e+05
"27","California_Humboldt",1.070331e+05,2.281861e+05,1.007100e+06,2.207224e+06,2.629279e+06,4.206179e+06
"28","California_Imperial",2.718719e+05,8.794889e+05,1.099985e+06,1.371123e+06,1.862572e+06,4.864794e+06
