"","county","0","20","40","60","80","100"
"1","Arizona_Apache",4.730360e+05,4.974927e+05,5.097419e+05,7.847758e+05,1.222334e+06,1.787719e+06
"2","Arizona_Cochise",1.011273e+05,1.063556e+05,1.089744e+05,2.861757e+05,4.987955e+05,7.094197e+05
"3","Arizona_Coconino",3.862810e+06,4.210712e+06,4.356250e+06,4.472300e+06,4.559163e+06,5.654716e+06
"4","Arizona_Gila",3.977450e+05,4.183089e+05,4.286092e+05,1.244136e+06,2.030703e+06,2.873752e+06
"5","Arizona_Graham",8.183324e+04,8.606411e+04,8.819162e+04,4.293190e+05,7.324073e+05,9.991863e+05
"6","Arizona_Greenlee",6.786171e+05,7.098153e+05,7.228630e+05,7.379122e+05,9.722757e+05,1.228931e+06
"7","Arizona_La Paz",NA,NA,NA,NA,NA,NA
"8","Arizona_Maricopa",1.520235e+05,1.598834e+05,1.638197e+05,3.551892e+05,5.574289e+05,6.206024e+05
"9","Arizona_Mohave",1.062902e+04,1.068085e+04,1.134572e+04,1.256972e+04,1.388769e+04,1.442322e+04
"10","Arizona_Navajo",7.790791e+05,8.193586e+05,8.395332e+05,1.017574e+06,1.548173e+06,2.122859e+06
"11","Arizona_Pima",7.917200e+04,8.326534e+04,8.531506e+04,2.358107e+05,3.834250e+05,4.536930e+05
"12","Arizona_Pinal",5.089628e+04,5.352754e+04,5.484574e+04,2.625362e+05,4.428300e+05,5.089739e+05
"13","Arizona_Santa Cruz",8.649042e+04,9.096217e+04,9.320181e+04,4.276161e+05,7.018482e+05,9.664100e+05
"14","Arizona_Yavapai",9.451850e+05,9.940526e+05,1.018528e+06,1.965664e+06,2.737399e+06,3.429614e+06
"15","Arizona_Yuma",NA,NA,NA,NA,NA,NA
"16","California_Alameda",NA,NA,NA,NA,NA,NA
"17","California_Alpine",4.945223e+05,7.393791e+05,9.549273e+05,1.068243e+06,1.098873e+06,1.118689e+06
"18","California_Amador",3.252803e+05,4.863390e+05,6.281194e+05,7.026546e+05,7.228024e+05,7.358362e+05
"19","California_Butte",4.572099e+05,6.835920e+05,8.828768e+05,9.876426e+05,1.015961e+06,1.034283e+06
"20","California_Calaveras",1.740530e+05,2.602333e+05,3.360981e+05,3.759808e+05,3.867615e+05,3.937364e+05
"21","California_Colusa",1.288292e+05,1.926174e+05,2.487704e+05,2.782905e+05,2.862701e+05,2.914325e+05
"22","California_Contra Costa",NA,NA,NA,NA,NA,NA
"23","California_Del Norte",1.514197e+06,2.263934e+06,2.923929e+06,3.270895e+06,3.364683e+06,3.425360e+06
"24","California_El Dorado",2.063833e+06,3.085715e+06,3.985281e+06,4.458191e+06,4.586023e+06,4.668725e+06
"25","California_Fresno",1.405361e+06,2.101208e+06,2.713765e+06,3.035791e+06,3.122838e+06,3.179152e+06
"26","California_Glenn",3.668157e+05,5.484401e+05,7.083246e+05,7.923773e+05,8.150979e+05,8.297971e+05
"27","California_Humboldt",1.075376e+06,1.607836e+06,2.076562e+06,2.322975e+06,2.389583e+06,2.432675e+06
"28","California_Imperial",NA,NA,NA,NA,NA,NA
