,YEAR,PILT,O_C,BLM_Grz_3,BLM_GRZ_15,Bankhead_Jones_Other,BLM_Tmb,L_CFG,FS,FS_Tmb,SRS
"1",1970,NA,3513006,NA,NA,NA,NA,NA,77610,NA,NA
"2",1971,NA,3061570,NA,NA,NA,NA,NA,247521.5,NA,NA
"3",1972,NA,3179564,NA,NA,NA,NA,NA,223136,NA,NA
"4",1973,NA,3562778.5,NA,NA,NA,NA,NA,177159,NA,NA
"5",1974,NA,4085708,NA,NA,NA,NA,NA,216373,NA,NA
"6",1975,NA,4576828.5,NA,NA,NA,NA,NA,199744.5,NA,NA
"7",1976,NA,3705561.5,NA,NA,NA,NA,NA,151907.5,NA,NA
"8",1977,NA,4180941,NA,NA,NA,NA,NA,181613.5,NA,NA
"9",1978,325742,7005919.5,NA,NA,NA,NA,NA,200416,NA,NA
"10",1979,306160.5,5266205.5,NA,NA,NA,NA,NA,358602,NA,NA
"11",1980,253549,5416220,NA,2380,NA,NA,8354.5,229364.5,NA,NA
"12",1981,236943,4994687,NA,2806,NA,NA,9151,146204.5,NA,NA
"13",1982,205720,4675959.5,NA,2323,NA,NA,6875,61007.5,NA,NA
"14",1983,202548,1823561,NA,3282,NA,NA,66297.5,96156.5,NA,NA
"15",1984,226677,2115590.5,NA,1556.5,NA,NA,61243.5,80765,NA,NA
"16",1985,189323,2049928,NA,1508.5,NA,NA,35638,66981,NA,NA
"17",1986,156108,4976328.5,NA,1332.5,NA,NA,159,40984,NA,NA
"18",1987,180434,422518,NA,1383.5,NA,NA,20102,45278.5,NA,NA
"19",1988,178647.5,2877446,NA,1175,NA,NA,12685,49021,NA,NA
"20",1989,164985,2650016.5,NA,1003,NA,NA,10364.5,40796.5,NA,NA
"21",1990,141298,4076700,NA,1200,NA,NA,8033,44877,NA,NA
"22",1991,144584.5,7344930,NA,2589.5,NA,NA,7243,59315.5,NA,NA
"23",1992,139471,2435346,NA,1535.5,NA,NA,4408.5,70781,NA,NA
"24",1993,153536,4080276,NA,1318.5,NA,NA,1287.5,75364,NA,NA
"25",1994,127308.5,2649340.5,NA,1200,NA,NA,460,68779,NA,NA
"26",1995,136704.5,2595229.5,NA,1081,NA,NA,164,47730,NA,NA
"27",1996,143311,2221657.5,NA,673.5,NA,NA,312,216072,NA,NA
"28",1997,156738,2328650,NA,570.5,NA,NA,124.5,54699,NA,NA
"29",1998,180551,2216382,NA,560,NA,NA,248.5,NA,NA,NA
"30",1999,185774,2098848.5,NA,711,NA,NA,237,NA,NA,NA
"31",2000,189120.5,1967865,NA,759.5,NA,NA,227,107097.5,NA,NA
"32",2001,290832,1841257,NA,670.5,NA,NA,222,131019.5,NA,214583.5
"33",2002,283981,3182960,NA,NA,NA,NA,NA,155312,NA,202997
"34",2003,262299,3145919,NA,NA,NA,NA,NA,127480,NA,168791.5
"35",2004,264931,3098658,NA,NA,NA,NA,NA,113867,NA,166520.5
"36",2005,259031.5,3041350,NA,NA,NA,NA,NA,148849,NA,160124
"37",2006,254112,3018441,NA,NA,NA,NA,NA,108548,NA,158323.5
"38",2007,250562,2969700.5,NA,NA,NA,NA,NA,99054.5,NA,152523
"39",2008,385739,2907745.5,NA,NA,NA,NA,NA,144725,NA,631522
"40",2009,414644,2601636,NA,NA,NA,NA,NA,130139.5,NA,542086
"41",2010,380487,2313250.5,NA,NA,NA,NA,NA,52547.5,NA,474651
"42",2011,415729.5,2044782.5,NA,NA,NA,NA,NA,28508,NA,405998.5
"43",2012,433908,1038728,NA,NA,NA,NA,NA,NA,NA,361535
